fundamental_hz,harmonic,target_frequency_hz,frames,true_relative_deg,measured_error_deg,circular_stddev_deg,resultant
10000.0,2,20000.0,20,87.0,0.29549999986036796,0.021788758696741566,0.9999999276914417
10000.0,3,30000.0,20,124.0,0.3680000003490809,0.026191601790508265,0.9999998955162298
10000.0,4,40000.0,20,161.0,0.21900000003868614,0.02406241890588574,0.9999999118132603
10000.0,5,50000.0,20,-162.0,0.17949999996866267,0.02539192804910618,0.9999999017989626
10000.0,6,60000.0,20,-125.0,0.43900000507858244,0.06472248502229855,0.9999993619790075
10000.0,7,70000.0,20,-88.0,0.4280000270914665,0.10146921690641472,0.999998431830451
10000.0,8,80000.0,20,-51.0,0.13949999714104533,0.08587637136698945,0.999998876761796
20000.0,2,40000.0,20,87.0,0.19150000036709985,0.031188940553089017,0.9999998518417115
20000.0,3,60000.0,20,124.0,-0.10700000008499612,0.043714987372707,0.9999997089380793
20000.0,4,80000.0,20,161.0,-0.22200007483662257,0.12412088653126865,0.9999976535356101
20000.0,5,100000.0,20,-162.0,-0.6660001154646995,0.1294372248643636,0.9999974482238643
20000.0,6,120000.0,20,-125.0,-0.703000576698569,0.27492023909827373,0.9999884884006583
20000.0,7,140000.0,20,-88.0,-1.2410008182952836,0.32509885872148103,0.9999839027335126
20000.0,8,160000.0,20,-51.0,-2.273999985695733,0.18847819934980956,0.9999945893952096
30000.0,2,60000.0,20,87.0,-0.016499999679058026,0.04003436121825298,0.9999997558872331
30000.0,3,90000.0,20,124.0,-0.291000000375603,0.03740320896261331,0.9999997869201314
30000.0,4,120000.0,20,161.0,-1.1489999872706427,0.08251667268454999,0.9999989629303385
30000.0,5,150000.0,20,-162.0,-1.995999988509208,0.08008745898910748,0.9999990230922463
30000.0,6,180000.0,20,-125.0,-3.112999995592497,0.10886231231808248,0.9999981949906446
30000.0,7,210000.0,20,-88.0,-4.6934999939072215,0.10743720317946338,0.9999982419397841
30000.0,8,240000.0,20,-51.0,-6.882499998555967,0.07847771069101919,0.9999990619690091
40000.0,2,80000.0,20,87.0,-0.4454999832366186,0.12443774870507351,0.9999976415399826
40000.0,3,120000.0,20,124.0,-1.3694999852289864,0.10096906436250747,0.9999984472516871
40000.0,4,160000.0,20,161.0,-2.482999931636482,0.15126468484566355,0.999996515029738
40000.0,5,200000.0,20,-162.0,-4.408499974788275,0.11512058552893802,0.9999979814929021
40000.0,6,240000.0,20,-125.0,-7.181000227698935,0.22958453241149393,0.9999919719836737
40000.0,7,280000.0,20,-88.0,-10.646500238939733,0.24102456147548776,0.999991151993746
40000.0,8,320000.0,20,-51.0,-15.562500036728354,0.14480595365974555,0.9999968062796742
50000.0,2,100000.0,20,87.0,-0.4489999853317216,0.15013001646798665,0.9999965671165529
50000.0,3,150000.0,20,124.0,-1.774500155560153,0.15170608700966606,0.9999964946612677
50000.0,4,200000.0,20,161.0,-4.318000343071618,0.18693842616102208,0.9999946774377699
50000.0,5,250000.0,20,-162.0,-7.609999992064594,0.2040589403997134,0.9999936578776397
